Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
38195702,"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull,"Catmull, Ed",Amy    Wallace,"=""""","=""""",4,4.22,Random House,Kindle Edition,368,2014,2014,2023/10/17,2023/08/30,,,read,,,,1,0
120806182,The Internet Con: How to Seize the Means of Computation,Cory Doctorow,"Doctorow, Cory",,"=""1804291242""","=""9781804291245""",4,4.18,Verso,Hardcover,192,2023,2023,2023/10/12,2023/09/26,,,read,,,,1,0
55710230,"Gideon the Ninth (The Locked Tomb, #1)",Tamsyn Muir,"Muir, Tamsyn",,"=""1250266599""","=""""",4,4.21,Tordotcom,Kindle Edition,479,2019,2019,2023/10/08,2020/08/24,,,read,,,,1,0
20697177,So Do You Wear a Cape?: The unofficial story of Magic: The Gathering,Titus Chalk,"Chalk, Titus",,"=""""","=""9783844268140""",0,4.03,Neopubli GmbH,Kindle Edition,0,2013,2013,,2023/10/04,to-read,to-read (#165),to-read,,,,0,0
62980366,The Belief Equation (T + E = B): The Last Self-Help Book You'll Ever Need,Dr. Peter Salerno,"Salerno, Dr. Peter",,"=""""","=""""",3,3.25,Peter Salerno,Kindle Edition,80,2022,,2023/09/24,2023/09/23,,,read,,,,1,0
39673345,Norse Mythology,Neil Gaiman,"Gaiman, Neil",,"=""""","=""""",3,4.11,W. W. Norton & Company,Kindle Edition,304,2018,2017,2023/09/15,2023/07/19,,,read,,,,1,0
34725589,The Atlantis World (The Origin Mystery #3),A.G. Riddle,"Riddle, A.G.",,"=""1940026059""","=""""",4,4.00,Riddle Inc. ,Kindle Edition,355,2014,2014,2023/09/23,2023/09/15,,,read,,,,1,0
116296,"Making Money (Discworld, #36; Moist Von Lipwig, #2)",Terry Pratchett,"Pratchett, Terry",,"=""0061161640""","=""9780061161643""",4,4.26,Harper,Hardcover,394,2007,2007,2023/09/26,2023/08/24,,,read,,,,1,0
60659833,The House at the End of the World,Dean Koontz,"Koontz, Dean",,"=""1662500459""","=""""",3,4.04,Thomas & Mercer,Kindle Edition,407,2023,2023,2023/09/02,2023/08/26,,,read,,,,1,0
128533513,Make Something Wonderful,Steve Jobs,"Jobs, Steve",,"=""""","=""""",4,4.49,"The Steve Jobs Archive, LLC",ebook,194,2023,,2023/08/26,2023/08/24,,,read,,,,1,0
64222,"Going Postal (Discworld, #33; Moist von Lipwig, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0060502932""","=""9780060502935""",5,4.40,HarperTorch,Mass Market Paperback,394,2005,2004,2023/01/01,2023/08/25,,,read,,,,1,0
31211994,Catharsis (Awaken Online #1),Travis Bagwell,"Bagwell, Travis",,"=""""","=""""",4,4.38,Travis Bagwell,Kindle Edition,527,2016,2016,2023/08/23,2022/12/17,,,read,,,,1,0
18599745,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works--A True Story",Dan   Harris,"Harris, Dan",,"=""006226544X""","=""9780062265449""",4,3.92,Dey Street Books,Unknown Binding,256,2014,2014,2023/08/23,2023/08/01,,,read,,,,1,0
228665,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,"Jordan, Robert",,"=""0812511816""","=""9780812511819""",0,4.19,Tor Books,Mass Market Paperback,800,1990,1990,,2023/08/19,to-read,to-read (#164),to-read,,,,0,0
61232567,"Throne of Jade (Temeraire, #2)",Naomi Novik,"Novik, Naomi",,"=""""","=""""",3,3.90,Del Rey,Kindle Edition,432,2006,2006,2023/08/17,2023/08/09,,,read,,,,1,0
40859000,"Delta-v (Delta-v, #1)",Daniel Suarez,"Suarez, Daniel",,"=""1524742414""","=""9781524742416""",0,4.16,Dutton,Hardcover,437,2019,2019,,2023/08/11,to-read,to-read (#163),to-read,,,,0,0
55922484,Once Upon a Time in Hollywood,Quentin Tarantino,"Tarantino, Quentin",,"=""0063112523""","=""9780063112520""",0,3.88,Harper Perennial ,Paperback,400,2021,2021,,2023/08/11,to-read,to-read (#162),to-read,,,,0,0
33391730,Of Human Bondage,W. Somerset Maugham,"Maugham, W. Somerset",,"=""1515412121""","=""9781515412120""",4,4.14,Dancing Unicorn Books,Kindle Edition,309,2016,1915,2023/08/09,2023/07/26,,,read,,,,1,0
18751402,Cold Mountain,Charles Frazier,"Frazier, Charles",Antoaneta Ralian,"=""""","=""9789734634903""",0,3.88,Polirom,Paperback,515,2013,1997,,2023/08/02,to-read,to-read (#161),to-read,,,,0,0
310612,A Confederacy of Dunces,John Kennedy Toole,"Toole, John Kennedy",Walker Percy,"=""0802130208""","=""9780802130204""",0,3.89,Grove Weidenfeld,Paperback,394,1994,1980,,2023/08/02,to-read,to-read (#160),to-read,,,,0,0
